"Mike Smith","Dave Clark Five","Dave Clark Five - Vocals, Keyboard (1958-70)"
"Ritchie Blackmore","Deep Purple","Deep Purple - Guitar (1968-75, 84-93)"
"David Coverdale","Deep Purple","Deep Purple - Vocals (1973-76)"
"Rod Evans","Deep Purple","Deep Purple - Vocals (1968-69)"
"Ian Gillan","Deep Purple","Deep Purple - Vocals, Percussion (1969-73, 84-89, 92-present)"
"Roger Glover","Deep Purple","Deep Purple - Bass (1969-73, 84-present)"
"Glenn Hughes","Deep Purple","Deep Purple - Bass, Vocals (1973-76)"
"Jon Lord","Deep Purple","Deep Purple - Keyboards, Vocals (1968-76, 84-02)"
"Ian Paice","Deep Purple","Deep Purple - Drums (1968-76, 84-present)"
"Rick Allen","Def Leppard","Def Leppard - Drums (1978-)"
"Vivian Campbell","Def Leppard","Def Leppard - Guitars (1992-)"
"Steve Clark","Def Leppard","Def Leppard - Guitars (1978-91)"
"Phil Collen","Def Leppard","Def Leppard - Guitars (1982-)"
"Joe Elliott","Def Leppard","Def Leppard - Vocals (1977-)"
"Rick Savage","Def Leppard","Def Leppard - Bass (1977-)"
"Pete Willis","Def Leppard","Def Leppard - Guitars (1977-82)"
"Verne Allison","Dells","Dells - Vocals (1953-)"
"Chuck Barksdale","Dells","Dells - Vocals (1953-)"
"Johnny Carter","Dells","Dells - Vocals (1953-)"
"Johnny Funches","Dells","Dells - Vocals (1953-)"
"Marvin Junior","Dells","Dells - Vocals (1953-)"
"Michael McGill","Dells","Dells - Vocals (1953-)"
"Vince Clarke","Depeche Mode","Depeche Mode - Vocals, Keyboards (1980-81)"
"Andy Fletcher","Depeche Mode","Depeche Mode - Keyboards, Bass (1980-)"
"Dave Gahan","Depeche Mode","Depeche Mode - Vocals (1980-)"
"Martin Gore","Depeche Mode","Depeche Mode - Keyboards, Guitars, Vocals (1980-)"
"Alan Wilder","Depeche Mode","Depeche Mode - Keyboards, Drums, Vocals (1982-95)"
"Alan Clark","Dire Straits","Dire Straits - Keyboards (1980-95)"
"Guy Fletcher","Dire Straits","Dire Straits - Keyboards, Guitar (1984-95)"
"John Illsley","Dire Straits","Dire Straits - Bass, Vocals (1977-95)"
"David Knopfler","Dire Straits","Dire Straits - Guitar, Keyboards (1977-1980)"
"Mark Knopfler","Dire Straits","Dire Straits - Vocals, Guitar (1977-95)"
"Pick Withers","Dire Straits","Dire Straits - Drums (1977-82)"
"Jeff Baxter","Doobie Brothers","Doobie Brothers - Guitars (1974-79, 87, 92)"
"John Hartman","Doobie Brothers","Doobie Brothers - Drums (1970-79, 1987-92)"
"Michael Hossack","Doobie Brothers","Doobie Brothers - Drums (1971-73, 87-12)"
"Tom Johnston","Doobie Brothers","Doobie Brothers - Guitars, Vocals (1970-75, 87-)"
"Keith Knudsen","Doobie Brothers","Doobie Brothers - Drums, Vocals (1973-82, 87, 93-05)"
"Michael McDonald","Doobie Brothers","Doobie Brothers - Keyboads, Vocals (1975-82, 87, 92, 95-96, 19-)"
"John McFee","Doobie Brothers","Doobie Brothers - Guitars, Violin, Vocals (1979-82, 87, 93-95, 96-)"
"Tiran Porter","Doobie Brothers","Doobie Brothers - Bass, Vocals (1971-80, 87-92)"
"Patrick Simmons","Doobie Brothers","Doobie Brothers - Guitars, Vocals (1970-82, 87-)"
"John Densmore","Doors","Doors - Drums (1965-73)"
"Robby Krieger","Doors","Doors - Guitar (1965-73)"
"Ray Manzarek","Doors","Doors - Keyboard (1965-73)"
"Jim Morrison","Doors","Doors - Vocals (1965-71)"
"Ben E King","Drifters","Drifters - Vocals (1958-60, 81-85)"
"Rudy Lewis","Drifters","Drifters - Vocals (1960-64)"
"Clyde McPhatter","Drifters","Drifters - Vocals (1953-55)"
"Johnny Moore","Drifters","Drifters - Vocals (1955-57, 63-98)"
"Bill Pinkney","Drifters","Drifters - Vocals (1953-55)"
"Charlie Thomas","Drifters","Drifters - Vocals (1958-67)"
"Gerhart Thrasher","Drifters","Drifters - Vocals (1953-57)"
"Don Felder","Eagles","Eagles - Guitar (1974-01)"
"Glen Frey","Eagles","Eagles - Vocals, Guitar (1971-)"
"Don Henley","Eagles","Eagles - Vocals, Drums (1971-)"
"Bernie Leadon","Eagles","Eagles - Guitar (1971-76)"
"Randy Meisner","Eagles","Eagles - Bass (1971-77)"
"Timothy Schmit","Eagles","Eagles - Bass (1977-)"
"Joe Walsh","Eagles","Eagles - Guitar (1976-)"
"Philip Bailey","Earth, Wind & Fire","Earth, Wind & Fire - Vocals (1972-)"
"Larry Dunn","Earth, Wind & Fire","Earth, Wind & Fire - Keyboard (1972-)"
"Johnny Graham","Earth, Wind & Fire","Earth, Wind & Fire - Guitar (1973-83)"
"Ralph Johnson","Earth, Wind & Fire","Earth, Wind & Fire - Drums (1972-)"
"Al McKay","Earth, Wind & Fire","Earth, Wind & Fire - Guitar (1973-80)"
"Fred White","Earth, Wind & Fire","Earth, Wind & Fire - Drums (1974-83)"
"Maurice White","Earth, Wind & Fire","Earth, Wind & Fire - Vocals (1969-)"
"Verdine White","Earth, Wind & Fire","Earth, Wind & Fire - Bass (1970-)"
"Andrew Woolfolk","Earth, Wind & Fire","Earth, Wind & Fire - Saxophone (1973-83)"
"Bev Bevan","ELO","ELO - Drums, Vocals (1970-86)"
"Jeff Lynne","ELO","ELO - Vocals, Guitar, Other (1970-86, 00-01, 14-present)"
"Richard Tandy","ELO","ELO - Keyboards, Guitars (1971-86, 00-01, 14-present)"
"Roy Wood","ELO","ELO - Vocals, Guitars, Other (1970-72)"
"Elvis Costello","Elvis Costello & the Attractions","Elvis Costello & the Attractions - Guitar, Vocals (1977-)"
"Steve Nieve","Elvis Costello & the Attractions","Elvis Costello & the Attractions - Keyboard (1977-96)"
"Bruce Thomas","Elvis Costello & the Attractions","Elvis Costello & the Attractions - Bass (1977-96)"
"Pete Thomas","Elvis Costello & the Attractions","Elvis Costello & the Attractions - Drums (1977-96)"
"Don Everly","Everly Brothers","Everly Brothers - Vocals, Guitar (1953-)"
"Phil Everly","Everly Brothers","Everly Brothers - Vocals, Guitar (1952-)"
"Kenney Jones","Faces","Faces - Drums (1965-)"
"Ronnie Lane","Faces","Faces - Bass (1965-73)"
"Steve Marriott","Faces","Faces - Guitar, Vocals (1965-78)"
"Ian McLagan","Faces","Faces - Keyboard (1965-)"
"Rod Stewart","Faces","Faces - Vocals (1969-75)"
"Ronnie Wood","Faces","Faces - Guitar, Vocals (1969-)"
"Bobby Bennett","Famous Flames","Famous Flames - Vocals (1953-68)"
"Bobby Byrd","Famous Flames","Famous Flames - Vocals (1953-68)"
"Lloyd Stallworth","Famous Flames","Famous Flames - Vocals (1953-68)"
"Johnny Terry","Famous Flames","Famous Flames - Vocals (1953-68)"
"Jake Carey","Flamingos","Flamingos - Vocals (1953-97)"
"Zeke Carey","Flamingos","Flamingos - Vocals (1953-99)"
"Johnny Carter","Flamingos","Flamingos - Vocals (1953-56)"
"Tommy Hunt","Flamingos","Flamingos - Vocals (1956-60)"
"Terry Johnson","Flamingos","Flamingos - Vocals, Guitar (1956-61)"
"Sollie McElroy","Flamingos","Flamingos - Vocals (1053-54)"
"Nate Nelson","Flamingos","Flamingos - Vocals (1954-61)"
"Paul Wilson","Flamingos","Flamingos - Vocals (1954-64)"
"Lindsey Buckingham","Fleetwood Mac","Fleetwood Mac - Vocals, Guitar (1975-87, 97-)"
"Mick Fleetwood","Fleetwood Mac","Fleetwood Mac - Drums (1967-)"
"Peter Green","Fleetwood Mac","Fleetwood Mac - Vocals, Guitar (1967-70)"
"Danny Kirwan","Fleetwood Mac","Fleetwood Mac - Guitar (1968-72)"
"John McVie","Fleetwood Mac","Fleetwood Mac - Bass (1967-)"
"Christine McVie","Fleetwood Mac","Fleetwood Mac - Vocals, Keyboard (1970-)"
"Stevie Nicks","Fleetwood Mac","Fleetwood Mac - Vocals (1975-91, 97-)"
"Jeremy Spencer","Fleetwood Mac","Fleetwood Mac - Vocals, Guitar (1967-71)"
"Dave Grohl","Foo Fighters","Foo Fighters-Vocals, Guitar (1994-)"
"Taylor Hawkins","Foo Fighters","Foo Fighters-Drums (1997-)"
"Rami Jaffee","Foo Fighters","Foo Fighters-Keyboard, Piano (2017-)"
"Nate Mendel","Foo Fighters","Foo Fighters-Bass (1995-)"
"Chris Shiflett","Foo Fighters","Foo Fighters-Guitar (1999-)"
"Pat Smear","Foo Fighters","Foo Fighters-Guitar (1995-97, 10-)"
"Tom DeVito","Four Seasons","Four Seasons - Vocals (1960-70)"
"Bob Gaudio","Four Seasons","Four Seasons - Vocals (1960-)"
"Nick Massi","Four Seasons","Four Seasons - Vocals (1960-65)"
"Frankie Valli","Four Seasons","Four Seasons - Vocals (1960-)"
"Renaldo Benson","Four Tops","Four Tops - Vocals (1953-05)"
"Abdul Fakir","Four Tops","Four Tops - Vocals (1953-)"
"Lawrence Payton","Four Tops","Four Tops - Vocals (1953-97)"
"Levi Stubbs","Four Tops","Four Tops - Vocals (1953-00)"
"Sherman Garnes","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers - Vocals (1954-77)"
"Frankie Lymon","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers - Vocals (1954-57, 65)"
"Jimmy Merchant","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers - Vocals (1954-04, 08-)"
"Joe Negroni","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers - Vocals (1954-78)"
"Herman Santiago","Frankie Lymon & The Teenagers","Frankie Lymon & The Teenagers - Vocals (1954-)"
"Tony Banks","Genesis","Genesis - Keyboard (1967-)"
"Phil Collins","Genesis","Genesis - Vocals, Drums (1970-96, 06-)"
"Peter Gabriel","Genesis","Genesis - Vocals (1967-75)"
"Steve Hackett","Genesis","Genesis - Guitar (1970-77)"
"Mike Rutherford","Genesis","Genesis - Bass (1967-)"
"Williams Guest","Gladys Knight & the Pips","Gladys Knight & the Pips - Vocals (1952-90)"
"Gladys Knight","Gladys Knight & the Pips","Gladys Knight & the Pips - Vocals (1952-90)"
"Merald Knight","Gladys Knight & the Pips","Gladys Knight & the Pips - Vocals (1952-90)"
"Edward Patten","Gladys Knight & the Pips","Gladys Knight & the Pips - Vocals (1952-90)"
"Charlotte Caffey","Go-Go's","Go-Go's-Guitar, Keyboards (1979-85, 90, 94, 99-)"
"Belinda Carlisle","Go-Go's","Go-Go's-Vocals (1978-85, 90, 94, 99-)"
"Gina Schock","Go-Go's","Go-Go's-Drums (1979-85, 90, 94, 99-)"
"Kathy Valentine","Go-Go's","Go-Go's-Bass (1981-85, 90, 94, 99-12, 18-)"
"Jane Wiedlin","Go-Go's","Go-Go's-Guitar (1978-85, 90, 94, 99-)"
"Cowboy","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - MC (1978-)"
"Kidd Creole","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - MC (1978-)"
"Grandmaster Flash","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - DJ (1978-)"
"Melle Mel","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - MC (1978-)"
"Rahiem","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - MC (1978-)"
"Scorpio","Grandmaster Flash and the Furious Five","Grandmaster Flash and the Furious Five - MC (1978-)"
"Tom Constanten","Grateful Dead","Grateful Dead - Keyboard (1968-70)"
"Jerry Garcia","Grateful Dead","Grateful Dead - Guitar, Vocals (1965-95)"
"Keith Godchaux","Grateful Dead","Grateful Dead - Keyboard (1971-79)"
"Mickey Hart","Grateful Dead","Grateful Dead - Drums (1967-71, 75-95)"
"Robert Hunter","Grateful Dead","Grateful Dead - Lyricist (1969-95)"
"Donna Jean Godchaux","Grateful Dead","Grateful Dead - Vocals (1971-79)"
"Bill Kreutzmann","Grateful Dead","Grateful Dead - Drums (1965-95)"
"Phil Lesh","Grateful Dead","Grateful Dead - Bass (1965-95)"
"Ron McKernan","Grateful Dead","Grateful Dead - Keyboard (1965-72)"
"Brent Mydland","Grateful Dead","Grateful Dead - Keyboard (1979-90)"
"Bob Weir","Grateful Dead","Grateful Dead - Guitat (1965-95)"
"Vince Welnick","Grateful Dead","Grateful Dead - Keyboard (1990-95)"
"Billie Joe Armstrong","Green Day","Green Day - Vocals, Guitar (1986-)"
"Tre Cool","Green Day","Green Day - Drums (1990-)"
"Mike Dirnt","Green Day","Green Day - Bass, Vocals (1986-)"
"Steven Adler","Guns N Roses","Guns N Roses - Drums (1985-90)"
"Duff McKagan","Guns N Roses","Guns N Roses - Bass (1985-97)"
"Dizzy Reed","Guns N Roses","Guns N Roses - Keyboard (1990-)"
"Axl Rose","Guns N Roses","Guns N Roses - Vocals (1985-)"
"Slash","Guns N Roses","Guns N Roses - Guitar (1985-96)"
"Matt Sorum","Guns N Roses","Guns N Roses - Drums (1990-97)"
"Izzy Stradlin","Guns N Roses","Guns N Roses - Guitar (1985-91)"
"Daryl Hall","Hall & Oates","Hall & Oates - Vocals, Guitar (1972-)"
"John Oates","Hall & Oates","Hall & Oates - Vocals, Guitar (1972-)"
"Michael DeRosier","Heart","Heart - Drums (1977-81)"
"Roger Fisher","Heart","Heart - Guitar (1974-80)"
"Steve Fossen","Heart","Heart - Bass (1972-81)"
"Howard Leese","Heart","Heart - Guitar (1977-94)"
"Ann Wilson","Heart","Heart - Vocals, Guitar (1973-)"
"Nancy Wilson","Heart","Heart - Vocals, Guitar (1973-)"
"Bernie Calvert","Hollies","Hollies - Bass (1966-81)"
"Allan Clarke","Hollies","Hollies - Vocals (1962-71, 73-99)"
"Bobby Elliott","Hollies","Hollies - Drums (1963-)"
"Eric Haydock","Hollies","Hollies - Bass (1962-66)"
"Tony Hicks","Hollies","Hollies - Guitar (1963-)"
"Graham Nash","Hollies","Hollies - Guitar, Vocals (1962-68)"
"Terry Sylvester","Hollies","Hollies - Guitar, Vocals (1969-81)"
"Ike Turner","Ike & Tina Turner","Ike & Tina Turner - Guitar (1959-76)"
"Tina Turner","Ike & Tina Turner","Ike & Tina Turner - Vocals (1959-76)"
"Arthur Brooks","Impressions","Impressions - Vocals (1958-62)"
"Richard Brooks","Impressions","Impressions - Vocals (1958-62)"
"Jerry Butler","Impressions","Impressions - Vocals (1958-60)"
"Fred Cash","Impressions","Impressions - Vocals (1960-)"
"Sam Gooden","Impressions","Impressions - Vocals (1958-)"
"Curtis Mayfield","Impressions","Impressions - Vocals (1958-70)"
"Ernie Isley","Isley Brothers","Isley Brothers - Guitar (1973-84, 91-)"
"Marvin Isley","Isley Brothers","Isley Brothers - Bass (1973-84, 91-97)"
"OKelly Isley Jr","Isley Brothers","Isley Brothers - Vocals (1954-86)"
"Ronald Isley","Isley Brothers","Isley Brothers - Vocals (1954-)"
"Rudolph Isley","Isley Brothers","Isley Brothers - Vocals (1954-89)"
"Chris Jasper","Isley Brothers","Isley Brothers - Piano (1973-84)"
"Jackie Jackson","Jackson 5","Jackson 5 - Vocals (1963-75)"
"Jermaine Jackson","Jackson 5","Jackson 5 - Bass, Vocals (1963-75)"
"Marlon Jackson","Jackson 5","Jackson 5 - Vocals (1963-75)"
"Michael Jackson","Jackson 5","Jackson 5 - Vocals (1963-75)"
"Tito Jackson","Jackson 5","Jackson 5 - Guitar, Vocals (1963-75)"
"Marty Balin","Jefferson Airplane","Jefferson Airplane - Vocals (1965-70, 89)"
"Jack Casady","Jefferson Airplane","Jefferson Airplane - Bass (1965-89)"
"Spender Dryden","Jefferson Airplane","Jefferson Airplane - Drums (1966-70)"
"Paul Kantner","Jefferson Airplane","Jefferson Airplane - Guitar (1965-89)"
"Jorma Kaukonen","Jefferson Airplane","Jefferson Airplane - Guitar (1965-89)"
"Grace Slick","Jefferson Airplane","Jefferson Airplane - Vocals (1966-89)"
"Jimi Hendrix","Jimi Hendrix Experience","Jimi Hendrix Experience - Guitar, Vocals (1966-70)"
"Mitch Mitchell","Jimi Hendrix Experience","Jimi Hendrix Experience - Drums (1966-70)"
"Noel Redding","Jimi Hendrix Experience","Jimi Hendrix Experience - Bass (1966-69)"
"Ricky Byrd","Joan Jett & The Blackhearts","Joan Jett & The Blackhearts - Guitar (1981-)"
"Lee Crystal","Joan Jett & The Blackhearts","Joan Jett & The Blackhearts - Drums (1980-86)"
"Joan Jett","Joan Jett & The Blackhearts","Joan Jett & The Blackhearts - Vocals, Guitar (1980-)"
"Gary Ryan","Joan Jett & The Blackhearts","Joan Jett & The Blackhearts - Gary Ryan (1980-86)"
"Jonathan Cain","Journey","Journey - Keyboards, Vocals (1980-present)"
"Aynsley Dunbar","Journey","Journey - Drums, Percussion (1974-78)"
"Steve Perry","Journey","Journey - Vocals (1977-98)"
"Gregg Rolie","Journey","Journey - Keyboards, Vocals (1973-80)"
"Neal Schon","Journey","Journey - Guitar (1973-present)"
"Steve Smith","Journey","Journey - Drums (1978-85, 95-98, 15-present)"
"Ross Valory","Journey","Journey - Bass (1973-85, 95-present)"
"Mick Avory","Kinks","Kinks - Drums (1964-84)"
"Dave Davies","Kinks","Kinks - Guitar (1963-96)"
"Ray Davies","Kinks","Kinks - Vocals, Guitar (1963-96)"
"Pete Quaife","Kinks","Kinks - Bass (1963-69)"
"Peter Criss","Kiss","Kiss - Drums (1973-80, 96-03)"
"Ace Frehley","Kiss","Kiss - Guitar (1973-83, 96-02)"
"Gene Simmons","Kiss","Kiss - Bass, Vocals (1973-)"
"Paul Stanley","Kiss","Kiss - Vocals, Guitar (1973-)"
